"","feature.id","IndividID","SampleDate","AgeAtSampling","Condition_weight","SocialStatus","HoursAfterSunrise","month","Season","Mean_rainfall_1month","Mean_maxtemp_1month"
"Feature1","Feature1","ID 69",1997-04-18,46,-101.9367496721,"Subordinate",1.54527777777778,4,"WET",0.00666666666666665,27.76
"Feature3","Feature3","ID 69",2002-01-06,1770,-52.3379279710888,"Subordinate",13.2319444444444,1,"WET",0.0666666666666666,36.9033333333333
"Feature5","Feature5","ID 4",2002-04-28,1285,6.76813299992841,"Dominant",2.81,4,"WET",0.613333333333333,30.2166666666667
"Feature7","Feature7","ID 92",2002-05-18,793,-4.14719967740734,"Dominant",5.20722222222222,5,"DRY",0.593333333333333,25.0266666666667
"Feature8","Feature8","ID 1",2002-08-20,2421,-61.9059332771785,"Subordinate",2.24305555555556,8,"DRY",0.00666666666666669,26.7033333333333
"Feature10","Feature10","ID 35",2002-08-25,1313,-16.6996236701872,"Subordinate",3.78916666666667,8,"DRY",0.00666666666666669,26.2766666666667
"Feature12","Feature12","ID 69",2002-09-08,2015,-2.87021579740781,"Subordinate",10.6022222222222,9,"DRY",0.7938,28.88
"Feature13","Feature13","ID 4",2002-09-13,1423,-3.00112455212877,"Dominant",4.47972222222222,9,"DRY",0.7938,29.27
"Feature14","Feature14","ID 38",2002-09-20,1144,26.9425320790476,"Subordinate",3.51416666666667,9,"DRY",0.7938,29.4333333333333
"Feature15","Feature15","ID 8",2002-10-04,725,-29.5671369302679,"Subordinate",11.5816666666667,10,"WET",0.0362666666666667,32.8933333333333
"Feature16","Feature16","ID 4",2002-11-06,1477,63.7318068844045,"Dominant",3.90333333333333,11,"WET",0.666666666666667,32.7233333333333
"Feature17","Feature17","ID 69",2002-11-10,2078,234.407874266196,"Subordinate",3.02666666666667,11,"WET",0.5,32.8866666666667
"Feature18","Feature18","ID 51",2002-11-17,68,-105.065928726497,"Subordinate",12.7480555555556,11,"WET",0.413333333333333,33.2466666666667
"Feature19","Feature19","ID 4",2002-11-24,1495,0.655167935037412,"Dominant",1.7,11,"WET",0.42,34.6166666666667
"Feature20","Feature20","ID 7",2002-12-07,1005,65.0329775448571,"Subordinate",2.71027777777778,12,"WET",1.74176666666667,34.3903333333333
"Feature21","Feature21","ID 63",2002-12-14,1201,174.105800070846,"Subordinate",2.66972222222222,12,"WET",2.05413333333333,34.9443333333333
"Feature22","Feature22","ID 35",2002-12-15,1425,13.3681237085266,"Subordinate",12.7647222222222,12,"WET",2.10256666666667,34.8663333333333
"Feature23","Feature23","ID 1",2002-12-24,2547,-0.654032608066359,"Subordinate",3.20277777777778,12,"WET",2.18673333333333,36.385
"Feature24","Feature24","ID 66",2003-01-10,55,-84.8390985492374,"Subordinate",2.5525,1,"WET",0.4194,37.031
"Feature25","Feature25","ID 36",2003-01-29,1262,-52.2541653761339,"Subordinate",3.43138888888889,1,"WET",0.834166666666667,36.4126666666667
"Feature26","Feature26","ID 37",2003-01-30,66,-41.8144130197509,"Subordinate",12.6347222222222,1,"WET",0.898333333333333,36.1493333333333
"Feature27","Feature27","ID 1",2003-01-31,2585,2.54004668679067,"Subordinate",13.1544444444444,1,"WET",0.9625,36.0313333333333
"Feature28","Feature28","ID 35",2003-02-09,1481,-17.3670463353279,"Subordinate",1.50333333333333,2,"WET",1.3475,35.0233333333333
"Feature29","Feature29","ID 63",2003-02-16,1265,-4.88747219880543,"Subordinate",3.66777777777778,2,"WET",1.54,33.8433333333333
"Feature30","Feature30","ID 38",2003-03-02,1307,1.95004607218993,"Dominant",2.26555555555556,3,"WET",0.641666666666667,34.3233333333333
"Feature31","Feature31","ID 51",2003-03-05,176,-17.5075751626301,"Subordinate",3.48638888888889,3,"WET",0.449166666666667,33.71
"Feature32","Feature32","ID 51",2003-03-16,187,-27.7244323525041,"Subordinate",3.25388888888889,3,"WET",-4.9960036108132e-17,32.49
"Feature33","Feature33","ID 4",2003-04-06,1628,-46.5959339876715,"Dominant",0.749444444444444,4,"WET",-4.9960036108132e-17,29.9863333333333
"Feature34","Feature34","ID 7",2003-04-11,1130,-28.9116119862026,"Subordinate",11.2922222222222,4,"WET",-4.9960036108132e-17,30.4096666666667
"Feature35","Feature35","ID 8",2003-04-12,915,-45.8415636006537,"Subordinate",11.7005555555556,4,"WET",-4.9960036108132e-17,30.3663333333333
"Feature36","Feature36","ID 1",2003-04-16,2660,-16.4372751023594,"Subordinate",11.0838888888889,4,"WET",-4.9960036108132e-17,29.7763333333333
"Feature37","Feature37","ID 4",2003-04-29,1651,-8.91307171488393,"Dominant",1.92,4,"WET",0.00266666666666662,26.5486666666667
"Feature38","Feature38","ID 69",1997-07-07,126,22.4966453015852,"Subordinate",3.1925,7,"DRY",-1.29526019539602e-17,22.5033333333333
"Feature39","Feature39","ID 4",2003-04-29,1651,-8.91307171488393,"Dominant",10.62,4,"WET",0.00266666666666662,26.5486666666667
"Feature40","Feature40","ID 52",2003-05-25,257,-15.0569304808529,"Subordinate",5.67916666666667,5,"DRY",-4.9960036108132e-17,21.8023333333333
"Feature41","Feature41","ID 4",2003-05-25,1677,2.6856033149528,"Dominant",10.2291666666667,5,"DRY",-4.9960036108132e-17,21.8023333333333
"Feature42","Feature42","ID 46",2003-06-07,562,-26.3792879933001,"Subordinate",4.99083333333333,6,"DRY",-4.9960036108132e-17,21.0433333333333
"Feature43","Feature43","ID 4",2003-06-15,1698,-10.335115109811,"Subordinate",1.72388888888889,6,"DRY",-4.9960036108132e-17,20.5666666666667
"Feature44","Feature44","ID 4",2003-06-20,1703,-16.6555386443965,"Subordinate",2.61694444444444,6,"DRY",-4.9960036108132e-17,20.3366666666667
"Feature45","Feature45","ID 69",2003-07-01,2311,-101.510914674585,"Subordinate",9.87333333333333,6,"DRY",-4.9960036108132e-17,20.85
"Feature46","Feature46","ID 38",2003-07-25,1452,-60.4693631016131,"Dominant",10.2541666666667,7,"DRY",-4.9960036108132e-17,23.6533333333333
"Feature47","Feature47","ID 36",2003-07-27,1441,-56.0181980209697,"Subordinate",2.45333333333333,7,"DRY",-4.9960036108132e-17,23.5
"Feature48","Feature48","ID 37",2003-08-01,249,-86.9983765057698,"Subordinate",10.0483333333333,7,"DRY",-4.9960036108132e-17,22.88
"Feature49","Feature49","ID 79",2003-08-09,2012,-71.6985205072723,"Dominant",10.3705555555556,8,"DRY",-4.9960036108132e-17,22.14
"Feature50","Feature50","ID 47",2003-08-13,517,-61.6044122554483,"Subordinate",5.02194444444444,8,"DRY",-4.9960036108132e-17,21.5966666666667
"Feature51","Feature51","ID 63",2003-08-10,1440,-129.699464967773,"Subordinate",10.1830555555556,8,"DRY",-4.9960036108132e-17,21.89
"Feature52","Feature52","ID 82",2003-08-12,1219,-80.2721520992669,"Subordinate",5.17527777777778,8,"DRY",-4.9960036108132e-17,21.5133333333333
"Feature54","Feature54","ID 40",2003-08-15,1073,-74.7991294008077,"Subordinate",5.04944444444444,8,"DRY",-4.9960036108132e-17,21.9566666666667
"Feature55","Feature55","ID 42",2003-08-26,284,-42.7306820501412,"Subordinate",8.05138888888889,8,"DRY",-4.9960036108132e-17,23.7966666666667
"Feature56","Feature56","ID 36",2003-09-25,1501,-19.9439388048977,"Subordinate",2.63916666666667,9,"DRY",0.386666666666667,31.4966666666667
"Feature57","Feature57","ID 36",2003-10-03,1509,-24.4377961964365,"Subordinate",2.04138888888889,10,"WET",0.193333333333333,32.3166666666667
"Feature58","Feature58","ID 8",2003-10-08,1094,-13.520439921409,"Subordinate",1.96694444444444,10,"WET",0.193333333333333,32.6533333333333
"Feature59","Feature59","ID 7",2003-10-15,1317,6.52891126256702,"Subordinate",1.34,10,"WET",0.38,32.8933333333333
"Feature60","Feature60","ID 36",2003-10-19,1525,30.3255229216552,"Subordinate",4.0725,10,"WET",0.386666666666667,32.9463333333333
"Feature61","Feature61","ID 69",2003-10-21,2423,24.4665512024792,"Subordinate",3.02083333333333,10,"WET",0.386666666666667,32.6963333333333
"Feature62","Feature62","ID 51",2003-10-30,415,-41.6265359082599,"Subordinate",2.40027777777778,10,"WET",0.486666666666667,32.7096666666667
"Feature63","Feature63","ID 69",2003-11-04,2437,67.2371355534051,"Subordinate",3.46166666666667,11,"WET",0.5,34.713
"Feature64","Feature64","ID 69",2003-11-05,2438,83.8818496930014,"Subordinate",1.72305555555556,11,"WET",1.27333333333333,34.953
"Feature65","Feature65","ID 35",2003-11-08,1753,65.8926703661043,"Subordinate",3.18805555555556,11,"WET",1.33043333333333,34.3896666666667
"Feature66","Feature66","ID 69",2003-11-16,2449,154.882620821615,"Subordinate",3.57305555555556,11,"WET",1.03043333333333,34.08
"Feature67","Feature67","ID 69",2003-12-07,2470,54.4967133781738,"Subordinate",1.3775,12,"WET",0.115066666666667,34.653
"Feature68","Feature68","ID 38",2004-01-09,1620,-30.3479295576329,"Dominant",2.635,1,"WET",1.58,34.2793333333333
"Feature69","Feature69","ID 9",2004-01-15,38,-214.885206129625,"Subordinate",12.8244444444444,1,"WET",1.58,34.1166666666667
"Feature70","Feature70","ID 35",2004-01-19,1825,77.0330371661785,"Subordinate",13.3877777777778,1,"WET",1.58,34.2613333333333
"Feature71","Feature71","ID 1",2004-01-22,2941,59.6536071710085,"Subordinate",4.04694444444444,1,"WET",0.586666666666667,34.921
"Feature72","Feature72","ID 1",2004-01-31,2950,104.684884083228,"Subordinate",13.3247222222222,1,"WET",0.413333333333333,35.0373333333333
"Feature73","Feature73","ID 1",2004-02-04,2954,119.666035888998,"Subordinate",13.4713888888889,2,"WET",0.6,35.2686666666667
"Feature74","Feature74","ID 9",2004-02-21,75,-13.2737439836205,"Subordinate",11.8966666666667,2,"WET",0.94,33.554
"Feature75","Feature75","ID 45",2004-03-06,103,-68.8374125939384,"Subordinate",12.3033333333333,3,"WET",0.58,32.6133333333333
"Feature76","Feature76","ID 9",2004-03-17,100,-12.3506416805044,"Subordinate",2.83888888888889,3,"WET",0.466666666666667,32.9966666666667
"Feature77","Feature77","ID 44",2004-03-25,122,-23.4433472850302,"Subordinate",1.42333333333333,3,"WET",1.22,31.8666666666667
"Feature78","Feature78","ID 7",2004-04-16,1501,-2.1741316766653,"Subordinate",1.91083333333333,4,"WET",1.04,28.5533333333333
"Feature79","Feature79","ID 81",2004-04-27,1965,8.25423600477961,"Dominant",10.0313888888889,4,"WET",0.26,28.6333333333333
"Feature80","Feature80","ID 38",2004-05-11,1743,12.0785184389359,"Dominant",3.185,5,"DRY",0.0143999999999999,29.01
"Feature81","Feature81","ID 67",2004-05-25,95,-3.71109355509731,"Subordinate",9.98944444444444,5,"DRY",0.0143999999999999,25.7166666666667
"Feature82","Feature82","ID 43",2004-05-30,562,-32.9242054279475,"Subordinate",4.79666666666667,5,"DRY",0.0143999999999999,24.51
"Feature83","Feature83","ID 44",2004-06-16,205,-40.711022191749,"Subordinate",2.64833333333333,6,"DRY",0.0066666666666666,22.84
"Feature84","Feature84","ID 79",2004-06-16,2324,-17.8695762234663,"Dominant",1.28166666666667,6,"DRY",0.0066666666666666,22.84
"Feature85","Feature85","ID 44",2004-06-18,207,-32.9381634757532,"Subordinate",1.72222222222222,6,"DRY",0.0066666666666666,22.76
"Feature86","Feature86","ID 94",2004-06-20,118,11.3929716556128,"Subordinate",8.74722222222222,6,"DRY",0.0066666666666666,22.5
"Feature87","Feature87","ID 66",2004-06-23,585,-34.2053445083728,"Dominant",10.1369444444444,6,"DRY",0.0066666666666666,22.53
"Feature88","Feature88","ID 94",2004-06-26,124,18.8635081527382,"Subordinate",3.77944444444444,6,"DRY",0.0066666666666666,22.6933333333333
"Feature89","Feature89","ID 94",2004-07-02,130,-12.2303652093622,"Subordinate",9.50583333333333,7,"DRY",0.00703333333333327,22.03
"Feature90","Feature90","ID 35",2004-07-30,2018,-14.2038197111069,"Subordinate",4.01972222222222,7,"DRY",0.000199999999999934,23.01
"Feature91","Feature91","ID 37",2004-08-12,626,-71.5633068002436,"Dominant",4.30194444444444,8,"DRY",0.000199999999999934,26.01
"Feature92","Feature92","ID 7",2004-08-14,1621,-42.155231805615,"Subordinate",11.1791666666667,8,"DRY",0.000199999999999934,26.4866666666667
"Feature93","Feature93","ID 67",2004-08-18,180,-10.6769073701114,"Subordinate",10.6369444444444,8,"DRY",0.000199999999999934,27.7866666666667
"Feature94","Feature94","ID 67",2004-08-20,182,-16.8065872313231,"Subordinate",9.31722222222222,8,"DRY",-6.63820850140458e-17,27.81
"Feature96","Feature96","ID 69",1997-10-24,235,32.9248041319361,"Subordinate",3.65805555555556,10,"WET",0.103566666666667,33.1766666666667
"Feature97","Feature97","ID 70",2004-09-05,2175,3.72300417148006,"Subordinate",4.70583333333333,9,"DRY",0.0145999999999999,29.2066666666667
"Feature98","Feature98","ID 51",2004-09-09,730,28.7365589287987,"Subordinate",11.1133333333333,9,"DRY",0.2546,28.8133333333333
"Feature99","Feature99","ID 66",2004-09-21,675,-33.1309481530138,"Subordinate",3.75944444444444,9,"DRY",0.2546,30.11
"Feature100","Feature100","ID 8",2004-09-28,1450,-6.09558192358077,"Subordinate",3.3275,9,"DRY",0.24,29.4233333333333
"Feature101","Feature101","ID 58",2004-08-21,45,-54.1645913123205,"Subordinate",10.3494444444444,8,"DRY",-6.63820850140458e-17,27.7933333333333
"Feature102","Feature102","ID 58",2004-10-05,90,1.25252654761482,"Subordinate",4.07555555555556,10,"WET",1.06666666666667,30.0966666666667
"Feature103","Feature103","ID 7",2004-10-13,1681,-14.0441573170107,"Subordinate",2.935,10,"WET",0.826666666666667,31.5833333333333
"Feature104","Feature104","ID 35",2004-10-16,2096,38.5139278643426,"Subordinate",1.6525,10,"WET",0.826666666666667,31.5366666666667
"Feature105","Feature105","ID 58",2004-10-17,102,17.4014591281825,"Subordinate",2.46888888888889,10,"WET",0.826666666666667,31.5033333333333
"Feature106","Feature106","ID 7",2004-10-22,1690,0.58691024323366,"Subordinate",11.9311111111111,10,"WET",0.846666666666666,32.0233333333333
"Feature107","Feature107","ID 7",2004-10-23,1691,7.81027609086811,"Subordinate",2.36277777777778,10,"WET",0.846666666666666,32.54
"Feature108","Feature108","ID 35",2004-10-24,2104,169.874197428445,"Subordinate",2.9775,10,"WET",0.846666666666666,32.9733333333333
"Feature109","Feature109","ID 79",2004-11-07,2468,40.5282943597275,"Dominant",2.83555555555556,11,"WET",0.275466666666667,35.4566666666667
"Feature110","Feature110","ID 94",2004-11-11,262,-54.7633009275434,"Subordinate",3.13972222222222,11,"WET",0.275466666666667,35.6966666666667
"Feature111","Feature111","ID 44",2004-11-14,356,46.986012917123,"Subordinate",13.4805555555556,11,"WET",0.275466666666667,36.2666666666667
"Feature112","Feature112","ID 94",2004-11-16,267,-11.7873435684805,"Subordinate",12.6613888888889,11,"WET",0.275466666666667,36.44
"Feature113","Feature113","ID 9",2004-11-24,352,-13.6450584990107,"Subordinate",3.86833333333333,11,"WET",1.46213333333333,35.57
"Feature114","Feature114","ID 58",2004-11-24,140,112.704008912035,"Subordinate",3.735,11,"WET",1.46213333333333,35.57
"Feature115","Feature115","ID 66",2004-11-25,740,39.0355206865628,"Subordinate",13.2047222222222,11,"WET",1.51546666666667,35.48
"Feature116","Feature116","ID 67",2004-12-03,287,43.821252389052,"Subordinate",12.2980555555556,12,"WET",1.26,35.3266666666667
"Feature117","Feature117","ID 81",2004-12-09,2191,-7.03127284260938,"Subordinate",3.30416666666667,12,"WET",1.32666666666667,36.1533333333333
"Feature118","Feature118","ID 38",2004-12-10,1956,83.2739478124598,"Dominant",2.21777777777778,12,"WET",1.32666666666667,36.1433333333333
"Feature119","Feature119","ID 37",2004-12-20,756,-16.8542651565484,"Subordinate",13.7305555555556,12,"WET",0.12,37.0666666666667
"Feature120","Feature120","ID 8",2004-12-23,1536,8.69976833291855,"Subordinate",2.44055555555556,12,"WET",0.12,37.9066666666667
"Feature122","Feature122","ID 55",2004-12-14,42,-23.1895492724086,"Subordinate",0.884166666666667,12,"WET",1.32666666666667,36.23
"Feature123","Feature123","ID 44",2005-01-25,428,244.388317607758,"Dominant",3.12916666666667,1,"WET",2.06526666666667,35.63
